,Unnamed: 0,score,score_precision,score_recall,score_f1,time,samples,carbon_emission,subject,session,channels,n_sessions,dataset,pipeline
4,4,0.95871913,0.87156767,0.8680556,0.867743,2.1748903,144.0,0.0069253566,9,session_E,22,2,001-2014,CSP+LDA
5,5,0.84066355,0.7638889,0.7638889,0.7638889,2.618102,144.0,0.008173191,9,session_T,22,2,001-2014,CSP+LDA
6,6,0.9209105,0.84829724,0.8472222,0.84710425,1204.407,144.0,4.8071694,9,session_E,22,2,001-2014,ACM+TGSP+SVM(Grid)
7,7,0.82445985,0.7593963,0.7569444,0.75636876,2406.2986,144.0,6.615214,9,session_T,22,2,001-2014,ACM+TGSP+SVM(Grid)
8,8,0.9282407,0.8636364,0.8611111,0.8608696,0.64767504,144.0,0.0020672148,9,session_E,22,2,001-2014,FgMDM
9,9,0.7978395,0.70142776,0.7013889,0.7013745,1.4233181,144.0,0.0045478866,9,session_T,22,2,001-2014,FgMDM
10,10,0.96084106,0.9040248,0.9027778,0.9027027,0.40991664,144.0,0.0012419199,9,session_E,22,2,001-2014,MDM
11,11,0.71257716,0.64162076,0.6388889,0.63713896,0.80632544,144.0,0.0023744544,9,session_T,22,2,001-2014,MDM
12,12,0.9565972,0.88201815,0.8819444,0.88193876,0.84315705,144.0,0.0024134861,9,session_E,22,2,001-2014,TANG+SVM
13,13,0.7957176,0.6878261,0.6875,0.6873643,1.6681116,144.0,0.0047755917,9,session_T,22,2,001-2014,TANG+SVM
0,0,0.97820216,0.8977515,0.8958333,0.8957076,160.81528,144.0,0.28016576,1,session_E,22,2,001-2014,ACM+MDM(MDOP)
1,1,0.9679784,0.83613443,0.7777778,0.7676951,319.12677,144.0,0.59496427,1,session_T,22,2,001-2014,ACM+MDM(MDOP)
2,2,0.9797454,0.9117077,0.9097222,0.90961325,178.6046,144.0,0.3299169,1,session_E,22,2,001-2014,ACM+TGSP+SVM(MDOP)
3,3,0.9670139,0.83613443,0.7777778,0.7676951,339.23535,144.0,0.6499327,1,session_T,22,2,001-2014,ACM+TGSP+SVM(MDOP)
0,0,0.64621913,0.58506984,0.5763889,0.56529915,168.9915,144.0,0.29994068,2,session_E,22,2,001-2014,ACM+MDM(MDOP)
1,1,0.63464504,0.75174826,0.5069444,0.34858236,325.12714,144.0,0.59328616,2,session_T,22,2,001-2014,ACM+MDM(MDOP)
2,2,0.638696,0.6985294,0.5416667,0.42884615,182.92427,144.0,0.26835358,2,session_E,22,2,001-2014,ACM+TGSP+SVM(MDOP)
3,3,0.68306327,0.75174826,0.5069444,0.34858236,346.0021,144.0,0.57521975,2,session_T,22,2,001-2014,ACM+TGSP+SVM(MDOP)
0,0,0.9992284,0.9444444,0.9375,0.9372549,160.00652,144.0,0.28405643,3,session_E,22,2,001-2014,ACM+MDM(MDOP)
1,1,0.9930556,0.9044944,0.8819444,0.88027585,323.88028,144.0,0.6085712,3,session_T,22,2,001-2014,ACM+MDM(MDOP)
2,2,0.9996142,0.9444444,0.9375,0.9372549,179.26881,144.0,8.306,3,session_E,22,2,001-2014,ACM+TGSP+SVM(MDOP)
3,3,0.9971065,0.8956044,0.8680556,0.86571777,342.3899,144.0,8.627804,3,session_T,22,2,001-2014,ACM+TGSP+SVM(MDOP)
0,0,0.87017745,0.75520945,0.7291667,0.72207654,168.0573,144.0,0.2674386,4,session_E,22,2,001-2014,ACM+MDM(MDOP)
1,1,0.8416281,0.7775974,0.7638889,0.7609375,326.3558,144.0,0.55591714,4,session_T,22,2,001-2014,ACM+MDM(MDOP)
2,2,0.88155866,0.7736566,0.7013889,0.68028086,179.56429,144.0,0.27090716,4,session_E,22,2,001-2014,ACM+TGSP+SVM(MDOP)
3,3,0.8582176,0.7989899,0.7569444,0.7480882,338.19214,144.0,0.5604398,4,session_T,22,2,001-2014,ACM+TGSP+SVM(MDOP)
0,0,0.6728395,0.671875,0.6527778,0.64285713,166.33461,144.0,0.2781621,5,session_E,22,2,001-2014,ACM+MDM(MDOP)
1,1,0.7029321,0.6651047,0.6597222,0.65692616,336.78528,144.0,0.6096408,5,session_T,22,2,001-2014,ACM+MDM(MDOP)
2,2,0.6938657,0.65458447,0.6180556,0.59407514,181.5519,144.0,0.30370778,5,session_E,22,2,001-2014,ACM+TGSP+SVM(MDOP)
3,3,0.716821,0.65971607,0.6388889,0.62671983,349.61835,144.0,0.6268552,5,session_T,22,2,001-2014,ACM+TGSP+SVM(MDOP)
